[96m 
------------------------------- Warm-up Stage ------------------------------- [0m
300 True 1
0 300
[RL] Updates 1, num timesteps 2048, FPS 356, time 5.75 seconds rewards: 82.86373747783452 -126.01876162019963 std: 172.9352887652094 33.87036716301524 tensor([0.4000, 0.6000])
[RL] Updates 2, num timesteps 4096, FPS 430, time 9.51 seconds rewards: -30.204075694255344 -104.09955854507177 std: 110.42371632542604 39.977994233639684 tensor([0.4000, 0.6000])
[RL] Updates 3, num timesteps 6144, FPS 462, time 13.27 seconds rewards: 171.73382785950554 -63.157012303899606 std: 152.65237285877305 77.86917879293169 tensor([0.4000, 0.6000])
[RL] Updates 4, num timesteps 8192, FPS 478, time 17.10 seconds rewards: 319.8240495117268 -171.47194133449796 std: 31.277247563225227 81.89817079490709 tensor([0.4000, 0.6000])
[RL] Updates 5, num timesteps 10240, FPS 490, time 20.89 seconds rewards: 262.0790532887996 -107.1851722340848 std: 79.10581499243455 64.36619546288176 tensor([0.4000, 0.6000])
[RL] Updates 6, num timesteps 12288, FPS 497, time 24.71 seconds rewards: 218.40317327779312 -72.2662768044713 std: 95.96685195662324 83.38623166869138 tensor([0.4000, 0.6000])
[RL] Updates 7, num timesteps 14336, FPS 502, time 28.52 seconds rewards: 227.53451269869456 -67.34843332067003 std: 57.01451800494563 75.19653774119341 tensor([0.4000, 0.6000])
[RL] Updates 8, num timesteps 16384, FPS 507, time 32.28 seconds rewards: 197.8417175857548 -32.09391583186372 std: 87.5302343189268 69.56282802996067 tensor([0.4000, 0.6000])
[RL] Updates 9, num timesteps 18432, FPS 510, time 36.10 seconds rewards: 162.79415864899588 -4.905621228772524 std: 64.82164762135726 52.74904097067145 tensor([0.4000, 0.6000])
[RL] Updates 10, num timesteps 20480, FPS 513, time 39.92 seconds rewards: 147.24963181051226 15.449696996463242 std: 86.80859586186051 40.87408993684427 tensor([0.4000, 0.6000])
[RL] Updates 11, num timesteps 22528, FPS 515, time 43.70 seconds rewards: 197.47538170342744 7.416536795389151 std: 84.15609248543373 42.52473657483937 tensor([0.4000, 0.6000])
[RL] Updates 12, num timesteps 24576, FPS 517, time 47.53 seconds rewards: 239.02632408059776 -0.7566661144946849 std: 73.4120716739123 54.63335417193697 tensor([0.4000, 0.6000])
[RL] Updates 13, num timesteps 26624, FPS 518, time 51.34 seconds rewards: 274.07352464979306 19.88857658776384 std: 77.71845712444518 64.41749147676416 tensor([0.4000, 0.6000])
[RL] Updates 14, num timesteps 28672, FPS 520, time 55.08 seconds rewards: 303.84325209482483 80.48091165332114 std: 78.15805333238397 63.52579056334447 tensor([0.4000, 0.6000])
[RL] Updates 15, num timesteps 30720, FPS 521, time 58.87 seconds rewards: 444.5926687515421 206.22442320765487 std: 92.87032754283834 91.01594515920628 tensor([0.4000, 0.6000])
[RL] Updates 16, num timesteps 32768, FPS 523, time 62.61 seconds rewards: 572.0084216879462 264.5435530872695 std: 148.42595829783315 102.61653529019766 tensor([0.4000, 0.6000])
[RL] Updates 17, num timesteps 34816, FPS 524, time 66.39 seconds rewards: 573.7718356417021 332.17551800138506 std: 83.30656309427201 84.67448135358363 tensor([0.4000, 0.6000])
[RL] Updates 18, num timesteps 36864, FPS 525, time 70.20 seconds rewards: 656.0064264954876 517.0793215096135 std: 237.7416004223945 179.45502536019447 tensor([0.4000, 0.6000])
