[96m 
------------------------------- Warm-up Stage ------------------------------- [0m
4000 True 1.0
0 4000
[RL] Updates 1, num timesteps 2048, FPS 348, time 5.88 seconds rewards: 27.814332333285183 101.10521543383575 std: 17.86955895980723 29.66317518838622 tensor([0.8000, 0.2000])
[RL] Updates 2, num timesteps 4096, FPS 414, time 9.89 seconds rewards: 35.18292501106669 110.40049305806345 std: 25.572367576007718 53.10618412218194 tensor([0.8000, 0.2000])
[RL] Updates 3, num timesteps 6144, FPS 444, time 13.82 seconds rewards: 151.16246402138313 257.5003097739404 std: 98.75708314376021 103.9201721590889 tensor([0.8000, 0.2000])
[RL] Updates 4, num timesteps 8192, FPS 460, time 17.77 seconds rewards: 138.39542428444832 236.73038771923325 std: 97.6947169945409 96.25926952577508 tensor([0.8000, 0.2000])
[RL] Updates 5, num timesteps 10240, FPS 472, time 21.67 seconds rewards: 204.03279417299206 266.0057303741868 std: 105.43260707038279 98.79745107548237 tensor([0.8000, 0.2000])
[RL] Updates 6, num timesteps 12288, FPS 479, time 25.61 seconds rewards: 303.6816987941078 395.37692621862755 std: 130.14345481953504 216.6408175298224 tensor([0.8000, 0.2000])
[RL] Updates 7, num timesteps 14336, FPS 485, time 29.53 seconds rewards: 318.350744600384 379.65907073808705 std: 95.16419889773903 166.80382759094908 tensor([0.8000, 0.2000])
[RL] Updates 8, num timesteps 16384, FPS 490, time 33.40 seconds rewards: 289.34469246601975 331.3714025685268 std: 34.936507644789565 55.83336044404292 tensor([0.8000, 0.2000])
[RL] Updates 9, num timesteps 18432, FPS 493, time 37.34 seconds rewards: 268.9231579523406 297.06741265779243 std: 38.967672505788364 69.69904289309694 tensor([0.8000, 0.2000])
[RL] Updates 10, num timesteps 20480, FPS 496, time 41.29 seconds rewards: 296.2661817083723 360.1229741994354 std: 46.58608835982001 80.99067046976866 tensor([0.8000, 0.2000])
[RL] Updates 11, num timesteps 22528, FPS 498, time 45.17 seconds rewards: 300.8837227752506 386.6540626575785 std: 94.55932375961542 96.16287681569622 tensor([0.8000, 0.2000])
[RL] Updates 12, num timesteps 24576, FPS 499, time 49.16 seconds rewards: 294.2371840749524 337.9755417386847 std: 75.18283539536853 108.97993355516626 tensor([0.8000, 0.2000])
[RL] Updates 13, num timesteps 26624, FPS 501, time 53.07 seconds rewards: 295.907957915977 311.8217444414303 std: 47.368899047849894 57.96038368221536 tensor([0.8000, 0.2000])
[RL] Updates 14, num timesteps 28672, FPS 502, time 57.08 seconds rewards: 302.5322473229975 351.91488533257836 std: 43.840598827230785 69.94644635298835 tensor([0.8000, 0.2000])
[RL] Updates 15, num timesteps 30720, FPS 503, time 61.05 seconds rewards: 308.36901368650945 343.26434502147424 std: 34.93962711798487 57.672920263810205 tensor([0.8000, 0.2000])
[RL] Updates 16, num timesteps 32768, FPS 504, time 64.94 seconds rewards: 327.17897176131225 360.64277753940894 std: 52.30968112457567 93.02933615294748 tensor([0.8000, 0.2000])
[RL] Updates 17, num timesteps 34816, FPS 505, time 68.92 seconds rewards: 373.6002364569002 430.3280318764423 std: 92.39739534810919 156.456822945024 tensor([0.8000, 0.2000])
[RL] Updates 18, num timesteps 36864, FPS 505, time 72.89 seconds rewards: 369.1098341388996 406.3485966103617 std: 49.47664832948516 70.41872368075701 tensor([0.8000, 0.2000])
[RL] Updates 19, num timesteps 38912, FPS 506, time 76.76 seconds rewards: 351.1352924900184 406.30192183431325 std: 98.52567519758828 100.22805747047609 tensor([0.8000, 0.2000])
[RL] Updates 20, num timesteps 40960, FPS 507, time 80.68 seconds rewards: 422.80979201133715 515.364817806985 std: 92.13376944189146 228.94947045296314 tensor([0.8000, 0.2000])
[RL] Updates 21, num timesteps 43008, FPS 508, time 84.62 seconds rewards: 418.42400321512406 532.6456148790377 std: 66.77603116400736 197.31759255508626 tensor([0.8000, 0.2000])
[RL] Updates 22, num timesteps 45056, FPS 509, time 88.48 seconds rewards: 420.5358391295854 502.73694973667733 std: 80.67588536756686 139.0916695774173 tensor([0.8000, 0.2000])
[RL] Updates 23, num timesteps 47104, FPS 509, time 92.44 seconds rewards: 425.1130457028172 545.9197561150663 std: 82.17362080997795 218.39091238452576 tensor([0.8000, 0.2000])
[RL] Updates 24, num timesteps 49152, FPS 510, time 96.33 seconds rewards: 444.24626957553227 561.4417805966735 std: 79.2365754884683 205.51746606355564 tensor([0.8000, 0.2000])
[RL] Updates 25, num timesteps 51200, FPS 510, time 100.26 seconds rewards: 434.12770012211115 581.0920861564744 std: 59.617562602498936 205.89143099273673 tensor([0.8000, 0.2000])
[RL] Updates 26, num timesteps 53248, FPS 511, time 104.20 seconds rewards: 447.38800625944515 570.1310361282901 std: 40.34136630705827 77.45382598575961 tensor([0.8000, 0.2000])
